
File System Summary
===================

Filesystem      Size  Used Avail Use% Mounted on
/dev/sda2       885G   38G  803G   5% /
none            4.0K     0  4.0K   0% /sys/fs/cgroup
udev             16G  4.0K   16G   1% /dev
tmpfs           3.2G  1.4M  3.2G   1% /run
none            5.0M     0  5.0M   0% /run/lock
none             16G  148K   16G   1% /run/shm
none            100M   48K  100M   1% /run/user
/dev/sda1       511M  3.4M  508M   1% /boot/efi


Process Listing
===============

USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0  33892  3176 ?        Ss   Jan09   0:01 /sbin/init
root         2  0.0  0.0      0     0 ?        S    Jan09   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    Jan09   0:00 [ksoftirqd/0]
root         5  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kworker/0:0H]
root         7  0.0  0.0      0     0 ?        S    Jan09   0:21 [rcu_sched]
root         8  0.0  0.0      0     0 ?        S    Jan09   0:06 [rcuos/0]
root         9  0.0  0.0      0     0 ?        S    Jan09   0:06 [rcuos/1]
root        10  0.0  0.0      0     0 ?        S    Jan09   0:10 [rcuos/2]
root        11  0.0  0.0      0     0 ?        S    Jan09   0:06 [rcuos/3]
root        12  0.0  0.0      0     0 ?        S    Jan09   0:02 [rcuos/4]
root        13  0.0  0.0      0     0 ?        S    Jan09   0:02 [rcuos/5]
root        14  0.0  0.0      0     0 ?        S    Jan09   0:03 [rcuos/6]
root        15  0.0  0.0      0     0 ?        S    Jan09   0:02 [rcuos/7]
root        16  0.0  0.0      0     0 ?        S    Jan09   0:00 [rcu_bh]
root        17  0.0  0.0      0     0 ?        S    Jan09   0:00 [rcuob/0]
root        18  0.0  0.0      0     0 ?        S    Jan09   0:00 [rcuob/1]
root        19  0.0  0.0      0     0 ?        S    Jan09   0:00 [rcuob/2]
root        20  0.0  0.0      0     0 ?        S    Jan09   0:00 [rcuob/3]
root        21  0.0  0.0      0     0 ?        S    Jan09   0:00 [rcuob/4]
root        22  0.0  0.0      0     0 ?        S    Jan09   0:00 [rcuob/5]
root        23  0.0  0.0      0     0 ?        S    Jan09   0:00 [rcuob/6]
root        24  0.0  0.0      0     0 ?        S    Jan09   0:00 [rcuob/7]
root        25  0.0  0.0      0     0 ?        S    Jan09   0:00 [migration/0]
root        26  0.0  0.0      0     0 ?        S    Jan09   0:02 [watchdog/0]
root        27  0.0  0.0      0     0 ?        S    Jan09   0:02 [watchdog/1]
root        28  0.0  0.0      0     0 ?        S    Jan09   0:00 [migration/1]
root        29  0.0  0.0      0     0 ?        S    Jan09   0:00 [ksoftirqd/1]
root        31  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kworker/1:0H]
root        32  0.0  0.0      0     0 ?        S    Jan09   0:01 [watchdog/2]
root        33  0.0  0.0      0     0 ?        S    Jan09   0:00 [migration/2]
root        34  0.0  0.0      0     0 ?        S    Jan09   0:00 [ksoftirqd/2]
root        36  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kworker/2:0H]
root        37  0.0  0.0      0     0 ?        S    Jan09   0:01 [watchdog/3]
root        38  0.0  0.0      0     0 ?        S    Jan09   0:00 [migration/3]
root        39  0.0  0.0      0     0 ?        S    Jan09   0:00 [ksoftirqd/3]
root        41  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kworker/3:0H]
root        42  0.0  0.0      0     0 ?        S    Jan09   0:01 [watchdog/4]
root        43  0.0  0.0      0     0 ?        S    Jan09   0:00 [migration/4]
root        44  0.0  0.0      0     0 ?        S    Jan09   0:00 [ksoftirqd/4]
root        46  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kworker/4:0H]
root        47  0.0  0.0      0     0 ?        S    Jan09   0:01 [watchdog/5]
root        48  0.0  0.0      0     0 ?        S    Jan09   0:00 [migration/5]
root        49  0.0  0.0      0     0 ?        S    Jan09   0:00 [ksoftirqd/5]
root        51  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kworker/5:0H]
root        52  0.0  0.0      0     0 ?        S    Jan09   0:01 [watchdog/6]
root        53  0.0  0.0      0     0 ?        S    Jan09   0:00 [migration/6]
root        54  0.0  0.0      0     0 ?        S    Jan09   0:00 [ksoftirqd/6]
root        56  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kworker/6:0H]
root        57  0.0  0.0      0     0 ?        S    Jan09   0:01 [watchdog/7]
root        58  0.0  0.0      0     0 ?        S    Jan09   0:00 [migration/7]
root        59  0.0  0.0      0     0 ?        S    Jan09   0:00 [ksoftirqd/7]
root        61  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kworker/7:0H]
root        62  0.0  0.0      0     0 ?        S<   Jan09   0:00 [khelper]
root        63  0.0  0.0      0     0 ?        S    Jan09   0:00 [kdevtmpfs]
root        64  0.0  0.0      0     0 ?        S<   Jan09   0:00 [netns]
root        65  0.0  0.0      0     0 ?        S<   Jan09   0:00 [writeback]
root        66  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kintegrityd]
root        67  0.0  0.0      0     0 ?        S<   Jan09   0:00 [bioset]
root        68  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kworker/u17:0]
root        69  0.0  0.0      0     0 ?        S<   Jan09   0:00 [kblockd]
root        70  0.0  0.0      0     0 ?        S<   Jan09   0:00 [ata_sff]
root        71  0.0  0.0      0     0 ?        S    Jan09   0:00 [khubd]
root        72  0.0  0.0      0     0 ?        S<   Jan09   0:00 [md]
root        73  0.0  0.0      0     0 ?        S<   Jan09   0:00 [devfreq_wq]
root        76  0.0  0.0      0     0 ?        S    Jan09   0:00 [khungtaskd]
root        77  0.0  0.0      0     0 ?        S    Jan09   0:07 [kswapd0]
root        78  0.1  0.0      0     0 ?        SN   Jan09  34:21 [ksmd]
root        79  0.0  0.0      0     0 ?        SN   Jan09   0:04 [khugepaged]
